Date,USALOLITONOSTSAM
1968-09-01,100.996376956234
1968-10-01,101.135112515106
1968-11-01,101.222207207242
1968-12-01,101.23963466711
1969-01-01,101.19167662944
1969-02-01,101.085738053417
1969-03-01,100.930419241559
1969-04-01,100.726822765203
1969-05-01,100.479786115606
1969-06-01,100.229528464638
1969-07-01,100.007829400448
1969-08-01,99.8230235113497
1969-09-01,99.6545771512829
1969-10-01,99.4714468518781
1969-11-01,99.2562260275287
1969-12-01,99.0051642139251
1970-01-01,98.7258125446871
1970-02-01,98.4489069611017
1970-03-01,98.2014226789963
1970-04-01,98.0068806747801
1970-05-01,97.8911530127068
1970-06-01,97.8467810181944
1970-07-01,97.8477666704327
1970-08-01,97.8862566602204
1970-09-01,97.9784099180853
1970-10-01,98.1531139462354
1970-11-01,98.4442448429437
1970-12-01,98.8441787977086
1971-01-01,99.2797131536351
1971-02-01,99.6685345226824
1971-03-01,99.9588571541582
1971-04-01,100.147552226431
1971-05-01,100.244221045792
1971-06-01,100.277676407631
1971-07-01,100.28475399108
1971-08-01,100.305024062742
1971-09-01,100.379567115054
1971-10-01,100.538520777418
1971-11-01,100.793898801238
1971-12-01,101.128779400375
1972-01-01,101.479484855578
1972-02-01,101.792676720072
1972-03-01,102.037946042222
1972-04-01,102.218679963355
1972-05-01,102.35719808063
1972-06-01,102.479455455501
1972-07-01,102.617816492226
1972-08-01,102.793398701244
1972-09-01,102.987437448248
1972-10-01,103.168997128389
1972-11-01,103.313793661799
1972-12-01,103.390298178686
1973-01-01,103.377246229484
1973-02-01,103.265567156662
1973-03-01,103.052473901303
1973-04-01,102.753734621816
1973-05-01,102.403566889696
1973-06-01,102.04431853365
1973-07-01,101.710042365021
1973-08-01,101.421077225018
1973-09-01,101.190836361064
1973-10-01,101.004551456661
1973-11-01,100.821625769261
1973-12-01,100.62655516028
1974-01-01,100.427861011924
1974-02-01,100.202095112081
1974-03-01,99.9305317643266
1974-04-01,99.5979597221785
1974-05-01,99.210974328888
1974-06-01,98.7809521492846
1974-07-01,98.319878017349
1974-08-01,97.8306952501212
1974-09-01,97.3232289137071
1974-10-01,96.845625215696
1974-11-01,96.4409589224127
1974-12-01,96.169318474293
1975-01-01,96.0847540881971
1975-02-01,96.1783577249476
1975-03-01,96.4219254067614
1975-04-01,96.7851392483085
1975-05-01,97.2110042710216
1975-06-01,97.6591333912522
1975-07-01,98.1022095695354
1975-08-01,98.5176826744691
1975-09-01,98.9033648964271
1975-10-01,99.2693928828342
1975-11-01,99.6271569572526
1975-12-01,99.9833516313975
1976-01-01,100.323670873851
1976-02-01,100.610169605575
